datetime,price,side,is_intraday,unable_to_trade_days
2019-01-23 15:05:00,623.75,1,True,37
2019-01-24 09:20:00,200.79999999999998,-1,True,37
2019-01-24 10:45:00,216.75000000000003,1,True,37
2019-01-24 10:50:00,213.65,-1,True,37
2019-01-24 15:10:00,53.0,1,True,37
2019-01-25 09:25:00,1064.2,-1,True,37
2019-01-25 13:40:00,1063.35,1,True,37
2019-01-25 13:50:00,1016.6000000000001,-1,True,37
2019-01-25 13:55:00,1036.15,1,True,37
2019-01-28 09:25:00,1049.1,-1,True,37
2019-01-28 09:30:00,1102.25,1,True,37
2019-01-29 10:00:00,1131.6,-1,True,37
2019-01-29 10:25:00,1133.2,1,True,37
2019-01-29 10:30:00,1123.05,-1,True,37
2019-01-29 11:50:00,1131.35,1,True,37
2019-01-29 11:55:00,1109.35,-1,True,37
2019-01-29 12:20:00,1161.8500000000001,1,True,37
2019-01-29 12:30:00,1109.5,-1,True,37
2019-01-29 13:05:00,1121.05,1,True,37
2019-01-29 13:20:00,1080.75,-1,True,37
2019-01-29 15:10:00,960.8,1,True,37
2019-01-30 09:20:00,709.0499999999998,-1,True,37
2019-01-30 10:35:00,649.25,1,True,37
2019-01-30 10:40:00,618.75,-1,True,37
2019-01-30 15:10:00,440.90000000000003,1,True,37
2019-01-31 09:20:00,242.90000000000003,-1,True,37
2019-01-31 11:00:00,239.64999999999998,1,True,37
2019-01-31 11:15:00,222.30000000000004,-1,True,37
2019-01-31 11:20:00,252.35,1,True,37
2019-01-31 11:55:00,241.40000000000003,-1,True,37
2019-01-31 12:00:00,267.00000000000006,1,True,37
2019-01-31 12:35:00,229.75,-1,True,37
2019-01-31 12:50:00,243.3,1,True,37
2019-01-31 12:55:00,233.1,-1,True,37
2019-01-31 13:00:00,267.95,1,True,37
2019-02-01 09:20:00,1553.1999999999998,-1,True,37
2019-02-01 09:55:00,1574.4499999999998,1,True,37
2019-02-01 10:35:00,1573.7,-1,True,37
2019-02-01 10:40:00,1607.35,1,True,37
2019-02-01 11:00:00,1565.3500000000001,-1,True,37
