,date,points,total trade,pnl
0,2019-01-01,-32.31300000000002,4,-807.8250000000004
1,2019-01-02,-27.863800000000026,4,-696.5950000000007
2,2019-01-03,-17.284900000000007,4,-432.1225000000002
3,2019-01-04,-48.325000000000045,4,-1208.1250000000011
4,2019-01-07,15.861099999999965,4,396.5274999999991
5,2019-01-08,51.42940000000003,4,1285.7350000000008
6,2019-01-09,-28.87899999999999,4,-721.9749999999998
7,2019-01-10,71.0443,4,1776.1075
8,2019-01-11,-2.846300000000042,4,-71.15750000000105
9,2019-01-14,-39.59880000000004,4,-989.9700000000009
10,2019-01-15,-1.169300000000007,4,-29.232500000000172
11,2019-01-16,6.912300000000016,4,172.8075000000004
12,2019-01-17,-11.878399999999992,4,-296.9599999999998
13,2019-01-18,-37.87520000000001,4,-946.8800000000001
14,2019-01-21,8.061099999999954,4,201.52749999999884
15,2019-01-22,29.495499999999964,4,737.3874999999991
16,2019-01-23,78.40790000000001,4,1960.1975000000002
17,2019-01-24,-10.825999999999993,4,-270.64999999999986
18,2019-01-25,59.56129999999999,4,1489.0324999999998
19,2019-01-28,129.12419999999997,4,3228.1049999999996
20,2019-01-29,-55.382600000000025,4,-1384.5650000000005
21,2019-01-30,-41.464100000000045,4,-1036.602500000001
22,2019-01-31,-15.369800000000026,4,-384.2450000000007
23,2019-02-01,-64.27339999999998,4,-1606.8349999999996
24,2019-02-04,-44.435299999999984,4,-1110.8824999999997
25,2019-02-05,-43.54550000000009,4,-1088.6375000000023
26,2019-02-06,40.79650000000002,4,1019.9125000000006
27,2019-02-07,-20.04230000000001,4,-501.0575000000003
28,2019-02-08,-22.001800000000003,4,-550.0450000000001
29,2019-02-11,37.84949999999995,4,946.2374999999987
30,2019-02-12,62.37100000000002,4,1559.2750000000005
31,2019-02-13,-24.77210000000001,4,-619.3025000000002
32,2019-02-14,81.85470000000001,4,2046.3675000000003
33,2019-02-15,-1.334099999999978,4,-33.35249999999945
34,2019-02-18,-44.971299999999985,4,-1124.2824999999996
35,2019-02-19,-38.574100000000016,4,-964.3525000000004
36,2019-02-20,-29.75299999999997,4,-743.8249999999992
37,2019-02-21,43.11649999999999,4,1077.9124999999997
38,2019-02-22,21.021600000000007,4,525.5400000000002
39,2019-02-25,11.478599999999929,4,286.9649999999982
40,2019-02-26,-36.37500000000003,4,-909.3750000000007
41,2019-02-27,-29.093099999999993,4,-727.3274999999999
42,2019-02-28,65.798,4,1644.95
43,2019-03-01,5.1107000000000085,4,127.76750000000021
44,2019-03-05,72.31970000000001,4,1807.9925000000003
45,2019-03-06,-21.455799999999982,4,-536.3949999999995
46,2019-03-07,65.96640000000001,4,1649.16
47,2019-03-08,-44.611699999999985,4,-1115.2924999999996
48,2019-03-11,10.010100000000008,4,250.25250000000023
49,2019-03-12,69.89159999999998,4,1747.2899999999995
50,2019-03-13,84.41730000000001,4,2110.4325000000003
51,2019-03-14,76.33599999999998,4,1908.3999999999996
52,2019-03-15,41.386499999999984,4,1034.6624999999997
53,2019-03-18,73.99020000000002,4,1849.7550000000003
54,2019-03-19,93.11439999999997,4,2327.859999999999
55,2019-03-20,63.292,4,1582.3
56,2019-03-22,166.06060000000002,4,4151.515
57,2019-03-25,52.837999999999994,4,1320.9499999999998
58,2019-03-26,45.96249999999996,4,1149.062499999999
59,2019-03-27,-32.626000000000005,4,-815.6500000000001
60,2019-03-28,61.246,4,1531.15
61,2019-03-29,-71.91230000000002,4,-1797.8075000000003
62,2019-04-01,55.84390000000002,4,1396.0975000000005
63,2019-04-02,-59.47870000000003,4,-1486.9675000000009
64,2019-04-03,115.89670000000002,4,2897.4175000000005
65,2019-04-04,-31.681300000000007,4,-792.0325000000001
66,2019-04-05,-26.086799999999982,4,-652.1699999999996
67,2019-04-08,-42.738399999999984,4,-1068.4599999999996
68,2019-04-09,-47.93780000000001,4,-1198.4450000000002
69,2019-04-10,-44.216499999999996,4,-1105.4125
70,2019-04-11,-18.540800000000004,4,-463.5200000000001
71,2019-04-12,22.049200000000013,4,551.2300000000004
72,2019-04-15,29.9032,4,747.5799999999999
73,2019-04-16,80.13829999999999,4,2003.4574999999998
74,2019-04-18,64.7699,4,1619.2475000000002
75,2019-04-22,-52.66899999999998,4,-1316.7249999999995
76,2019-04-23,-50.318400000000054,4,-1257.9600000000014
77,2019-04-24,-35.34740000000002,4,-883.6850000000005
78,2019-04-25,-22.044299999999993,4,-551.1074999999998
79,2019-04-26,-48.06349999999995,4,-1201.5874999999987
80,2019-04-30,32.03019999999998,4,800.7549999999994
81,2019-05-02,-21.04550000000002,4,-526.1375000000005
82,2019-05-03,20.894399999999962,4,522.359999999999
83,2019-05-06,-59.647500000000036,4,-1491.187500000001
84,2019-05-07,-47.13239999999999,4,-1178.3099999999997
85,2019-05-08,-38.592600000000004,4,-964.815
86,2019-05-09,-20.509600000000006,4,-512.7400000000001
87,2019-05-10,-62.59060000000005,4,-1564.7650000000012
88,2019-05-13,74.98019999999998,4,1874.5049999999997
89,2019-05-14,36.64389999999996,4,916.097499999999
90,2019-05-15,134.7495,4,3368.7375
91,2019-05-16,-23.8433,4,-596.0825
92,2019-05-17,-49.19219999999984,4,-1229.8049999999962
93,2019-05-20,119.01690000000019,4,2975.4225000000047
94,2019-05-21,86.04650000000004,4,2151.162500000001
95,2019-05-22,-151.3705,4,-3784.2625
96,2019-05-23,-109.84349999999995,4,-2746.0874999999987
97,2019-05-24,-73.32900000000001,4,-1833.2250000000001
98,2019-05-27,107.36420000000004,4,2684.105000000001
99,2019-05-28,-7.136599999999987,4,-178.41499999999968
100,2019-05-29,89.0528,4,2226.32
101,2019-05-30,-20.57590000000002,4,-514.3975000000005
102,2019-05-31,98.57050000000001,4,2464.2625000000003
103,2019-06-03,111.72730000000006,4,2793.1825000000013
104,2019-06-04,-50.21770000000001,4,-1255.4425
105,2019-06-06,98.04160000000002,4,2451.0400000000004
106,2019-06-07,-60.26910000000004,4,-1506.7275000000009
107,2019-06-10,92.6251,4,2315.6275
108,2019-06-11,-53.18779999999995,4,-1329.6949999999988
109,2019-06-12,86.21470000000008,4,2155.367500000002
110,2019-06-13,30.523299999999992,4,763.0824999999998
111,2019-06-14,49.681400000000025,4,1242.0350000000005
112,2019-06-17,34.16770000000007,4,854.1925000000017
113,2019-06-18,-48.98000000000005,4,-1224.5000000000011
114,2019-06-19,-28.68999999999997,4,-717.2499999999992
115,2019-06-20,-25.641100000000037,4,-641.0275000000009
116,2019-06-21,-59.53370000000001,4,-1488.3425000000002
117,2019-06-24,-54.690799999999996,4,-1367.27
118,2019-06-25,101.29540000000003,4,2532.3850000000007
119,2019-06-26,112.5651,4,2814.1275
120,2019-06-27,-22.7153,4,-567.8824999999999
121,2019-06-28,-56.47529999999995,4,-1411.8824999999988
122,2019-07-01,47.11200000000002,4,1177.8000000000006
123,2019-07-02,12.200699999999998,4,305.0174999999999
124,2019-07-03,23.07190000000002,4,576.7975000000005
125,2019-07-04,66.46129999999998,4,1661.5324999999996
126,2019-07-05,-68.1581000000001,4,-1703.9525000000026
127,2019-07-08,142.776,4,3569.4
128,2019-07-09,-49.66900000000004,4,-1241.725000000001
129,2019-07-10,76.917,4,1922.925
130,2019-07-11,-21.773300000000006,4,-544.3325000000002
131,2019-07-12,-53.895200000000045,4,-1347.380000000001
132,2019-07-15,46.71409999999999,4,1167.8524999999997
133,2019-07-16,49.533899999999996,4,1238.3474999999999
134,2019-07-17,41.228299999999976,4,1030.7074999999993
135,2019-07-18,13.657499999999997,4,341.43749999999994
136,2019-07-19,140.18,4,3504.5
137,2019-07-22,-45.960999999999984,4,-1149.0249999999996
138,2019-07-23,-38.61020000000002,4,-965.2550000000006
139,2019-07-24,113.19759999999998,4,2829.9399999999996
140,2019-07-25,-18.753299999999996,4,-468.83249999999987
141,2019-07-26,54.85710000000003,4,1371.4275000000007
142,2019-07-29,5.0649999999999835,4,126.62499999999959
143,2019-07-30,80.12989999999999,4,2003.2474999999997
144,2019-07-31,-35.02779999999996,4,-875.6949999999989
145,2019-08-01,-26.954500000000024,4,-673.8625000000006
146,2019-08-02,-75.99240000000009,4,-1899.8100000000022
147,2019-08-05,-63.0637000000001,4,-1576.5925000000025
148,2019-08-06,80.57700000000003,4,2014.4250000000006
149,2019-08-07,-55.00490000000002,4,-1375.1225000000004
150,2019-08-08,-26.14929999999997,4,-653.7324999999992
151,2019-08-09,10.757300000000043,4,268.9325000000011
152,2019-08-13,159.91729999999995,4,3997.932499999999
153,2019-08-14,-29.827200000000005,4,-745.6800000000001
154,2019-08-16,102.50570000000003,4,2562.642500000001
155,2019-08-19,-61.30699999999999,4,-1532.6749999999997
156,2019-08-20,42.17199999999998,4,1054.2999999999995
157,2019-08-21,-43.26150000000001,4,-1081.5375000000004
158,2019-08-22,97.5332,4,2438.33
159,2019-08-23,47.380300000000034,4,1184.5075000000008
160,2019-08-26,-74.41890000000001,4,-1860.4725000000003
161,2019-08-27,-64.62309999999994,4,-1615.5774999999985
162,2019-08-28,120.59909999999996,4,3014.977499999999
163,2019-08-29,-26.1378,4,-653.4449999999999
164,2019-08-30,-84.8076000000001,4,-2120.1900000000023
165,2019-09-03,57.10289999999996,4,1427.572499999999
166,2019-09-04,110.80630000000004,4,2770.1575000000007
167,2019-09-05,134.09439999999995,4,3352.3599999999988
168,2019-09-06,32.73359999999994,4,818.3399999999984
169,2019-09-09,119.06589999999998,4,2976.6474999999996
170,2019-09-11,92.22059999999999,4,2305.515
171,2019-09-12,-22.552499999999995,4,-563.8124999999999
172,2019-09-13,-64.60629999999992,4,-1615.157499999998
173,2019-09-16,-54.19900000000004,4,-1354.975000000001
174,2019-09-17,144.1413,4,3603.5325000000003
175,2019-09-18,-41.855500000000035,4,-1046.387500000001
176,2019-09-19,88.4015,4,2210.0375
177,2019-09-20,-77.48370000000006,4,-1937.0925000000013
178,2019-09-23,413.0876,4,10327.19
179,2019-09-24,-94.9504,4,-2373.76
180,2019-09-25,166.69320000000008,4,4167.330000000002
181,2019-09-26,114.66449999999998,4,2866.6124999999993
182,2019-09-27,-119.47140000000002,4,-2986.7850000000003
183,2019-09-30,177.70010000000008,4,4442.502500000002
184,2019-10-01,188.36129999999997,4,4709.032499999999
185,2019-10-03,222.04729999999995,4,5551.182499999999
186,2019-10-04,274.0502,4,6851.255
187,2019-10-07,60.435499999999934,4,1510.8874999999985
188,2019-10-09,-68.46700000000004,4,-1711.675000000001
189,2019-10-10,155.8992,4,3897.48
190,2019-10-11,-112.49559999999991,4,-2812.3899999999976
191,2019-10-14,-106.40809999999999,4,-2660.2025
192,2019-10-15,82.76919999999993,4,2069.229999999998
193,2019-10-16,-68.7830999999999,4,-1719.5774999999976
194,2019-10-17,-42.82070000000007,4,-1070.5175000000017
195,2019-10-18,34.19549999999998,4,854.8874999999996
196,2019-10-22,97.31630000000004,4,2432.907500000001
197,2019-10-23,-74.88950000000003,4,-1872.2375000000006
198,2019-10-24,102.28999999999996,4,2557.249999999999
199,2019-10-25,-91.24890000000005,4,-2281.222500000001
200,2019-10-29,101.49869999999994,4,2537.4674999999984
201,2019-10-30,-49.43600000000001,4,-1235.9
202,2019-10-31,85.36740000000002,4,2134.1850000000004
203,2019-11-01,36.17910000000009,4,904.4775000000022
204,2019-11-04,17.88180000000014,4,447.0450000000035
205,2019-11-05,27.410799999999966,4,685.2699999999992
206,2019-11-06,142.1351,4,3553.3775
207,2019-11-07,-33.725100000000026,4,-843.1275000000006
208,2019-11-08,75.9684,4,1899.21
209,2019-11-11,-63.329000000000065,4,-1583.2250000000017
210,2019-11-13,88.17009999999992,4,2204.252499999998
211,2019-11-14,-33.25720000000001,4,-831.4300000000003
212,2019-11-15,-74.2749,4,-1856.8725
213,2019-11-18,5.96440000000004,4,149.110000000001
214,2019-11-19,59.458299999999895,4,1486.4574999999973
215,2019-11-20,-52.483700000000056,4,-1312.0925000000013
216,2019-11-21,-30.0608,4,-751.52
