,date,points,total trade,pnl,pnl_pct
0,2019-01-01,-32.31300000000002,4,-807.8250000000004,-0.44879166666666687
1,2019-01-02,-27.863800000000026,4,-696.5950000000007,-0.3869972222222226
2,2019-01-03,-17.284900000000007,4,-432.1225000000002,-0.24006805555555566
3,2019-01-04,-48.325000000000045,4,-1208.1250000000011,-0.6711805555555562
4,2019-01-07,15.861099999999965,4,396.5274999999991,0.2202930555555551
5,2019-01-08,51.42940000000003,4,1285.7350000000008,0.7142972222222227
6,2019-01-09,-28.87899999999999,4,-721.9749999999998,-0.4010972222222221
7,2019-01-10,71.0443,4,1776.1075,0.9867263888888889
8,2019-01-11,-2.846300000000042,4,-71.15750000000105,-0.03953194444444503
9,2019-01-14,-39.59880000000004,4,-989.9700000000009,-0.5499833333333338
10,2019-01-15,-1.169300000000007,4,-29.232500000000172,-0.016240277777777874
11,2019-01-16,6.912300000000016,4,172.8075000000004,0.09600416666666689
12,2019-01-17,-11.878399999999992,4,-296.9599999999998,-0.16497777777777767
13,2019-01-18,-37.87520000000001,4,-946.8800000000001,-0.5260444444444445
14,2019-01-21,8.061099999999954,4,201.52749999999884,0.11195972222222159
15,2019-01-22,29.495499999999964,4,737.3874999999991,0.40965972222222174
16,2019-01-23,78.40790000000001,4,1960.1975000000002,1.0889986111111112
17,2019-01-24,-10.825999999999993,4,-270.64999999999986,-0.15036111111111103
18,2019-01-25,59.56129999999999,4,1489.0324999999998,0.8272402777777776
19,2019-01-28,129.12419999999997,4,3228.1049999999996,1.7933916666666665
20,2019-01-29,-55.382600000000025,4,-1384.5650000000005,-0.769202777777778
21,2019-01-30,-41.464100000000045,4,-1036.602500000001,-0.5758902777777783
22,2019-01-31,-15.369800000000026,4,-384.2450000000007,-0.21346944444444482
23,2019-02-01,-64.27339999999998,4,-1606.8349999999996,-0.892686111111111
24,2019-02-04,-44.435299999999984,4,-1110.8824999999997,-0.6171569444444444
25,2019-02-05,-43.54550000000009,4,-1088.6375000000023,-0.6047986111111123
26,2019-02-06,40.79650000000002,4,1019.9125000000006,0.5666180555555559
27,2019-02-07,-20.04230000000001,4,-501.0575000000003,-0.2783652777777779
28,2019-02-08,-22.001800000000003,4,-550.0450000000001,-0.3055805555555556
29,2019-02-11,37.84949999999995,4,946.2374999999987,0.5256874999999992
30,2019-02-12,62.37100000000002,4,1559.2750000000005,0.8662638888888892
31,2019-02-13,-24.77210000000001,4,-619.3025000000002,-0.34405694444444457
32,2019-02-14,81.85470000000001,4,2046.3675000000003,1.1368708333333335
33,2019-02-15,-1.334099999999978,4,-33.35249999999945,-0.018529166666666364
